,Food Index,Food,Zinc,Thiamin
95,11511300,"Milk, chocolate, skim milk-based",0.00049,4.4e-05
96,11511400,"Milk, chocolate, lowfat milk-based",0.00041,3.8e-05
97,11512000,"Cocoa, hot chocolate, not from dry mix, made with whole milk",0.00057,3.5000000000000004e-05
98,11512500,"Hot chocolate, Puerto Rican style, made with whole milk",0.00055,2.5e-05
99,11512510,"Hot chocolate, Puerto Rican style, made with low fat milk",0.00062,2.3e-05
100,11513000,"Cocoa and sugar mixture, milk added, NS as to type of milk",0.0009599999999999999,3.7e-05
101,11513100,"Cocoa and sugar mixture, whole milk added",0.0009,4.2999999999999995e-05
102,11513150,"Cocoa and sugar mixture, reduced fat milk added",0.001,3.7e-05
103,11513200,"Cocoa and sugar mixture, lowfat milk added",0.00095,1.9e-05
104,11513300,"Cocoa and sugar mixture, skim milk added",0.00095,4.2000000000000004e-05
105,11513400,"Chocolate syrup, milk added, NS as to type of milk",0.00047,3.5999999999999994e-05
106,11513500,"Chocolate syrup, whole milk added",0.00041999999999999996,4.1e-05
107,11513550,"Chocolate syrup, reduced fat milk added",0.00051,3.5000000000000004e-05
108,11513600,"Chocolate syrup, lowfat milk added",0.00046,1.9e-05
109,11513700,"Chocolate syrup, skim milk added",0.00046,4e-05
110,11514100,"Cocoa, sugar, and dry milk mixture, water added",0.00020999999999999998,1.3e-05
111,11514300,"Cocoa with nonfat dry milk and low calorie sweetener, mixture, water added",0.00028000000000000003,2.1000000000000002e-05
112,11514500,"Cocoa, whey, and low calorie sweetener, mixture, fortified, water added",0.00022,1.6e-05
113,11515100,"Cocoa and sugar mixture fortified with vitamins and minerals, milk added, NS as to type of milk, Puerto Rican style",0.00041999999999999996,0.00028399999999999996
114,11515400,"Cocoa with nonfat dry milk and low calorie sweetener, high calcium, water added",0.00034,2.6e-05
115,11516000,"Cocoa, whey, and low-calorie sweetener mixture, lowfat milk added",0.00058,3.3e-05
116,11518000,"Milk beverage with nonfat dry milk and low calorie sweetener, water added, chocolate",0.00038,1.2e-05
117,11518050,"Milk beverage with nonfat dry milk and low calorie sweetener, water added, flavors other than chocolate",0.00041999999999999996,1.3e-05
118,11518100,"Milk beverage with nonfat dry milk and low calorie sweetener, high calcium, water added, chocolate",0.00038,1.2e-05
119,11519000,"Milk beverage, made with whole milk, flavors other than chocolate",0.00034,4.2000000000000004e-05
120,11519040,"Milk, flavors other than chocolate, NFS",0.00039,3.7e-05
121,11519050,"Milk, flavors other than chocolate, whole milk-based",0.00034,4.2000000000000004e-05
122,11519105,"Milk, flavors other than chocolate, reduced fat milk-based",0.00045,3.5999999999999994e-05
123,11519200,"Milk, flavors other than chocolate, lowfat milk-based",0.00038,1.9e-05
124,11519205,"Milk, flavors other than chocolate, skim-milk based",0.00038,4.2000000000000004e-05
125,11520000,"Milk, malted, unfortified, NS as to flavor, made with milk",0.00046,5.1e-05
126,11521000,"Milk, malted, unfortified, chocolate, made with milk",0.00046,5.1e-05
127,11522000,"Milk, malted, unfortified, natural flavor, made with milk",0.00047,7.7e-05
128,11525000,"Milk, malted, fortified, natural flavor, made with milk",0.00045,0.000372
129,11526000,"Milk, malted, fortified, chocolate, made with milk",0.00047999999999999996,0.000279
130,11527000,"Milk, malted, fortified, NS as to flavor, made with milk",0.00047999999999999996,0.000279
131,11531000,"Eggnog, made with whole milk",0.00046,3.4e-05
132,11531500,"Eggnog, made with 2% reduced fat milk (formerly eggnog, made with ""2% lowfat"" milk)",0.0006,3.4e-05
133,11541000,"Milk shake, NS as to flavor or type",0.00047,4e-05
134,11541100,"Milk shake, homemade or fountain-type, NS as to flavor",0.00044,3.7e-05
135,11541110,"Milk shake, homemade or fountain-type, chocolate",0.00049,3.9e-05
136,11541120,"Milk shake, homemade or fountain-type, flavors other than chocolate",0.0004,3.8e-05
137,11541400,Milk shake with malt,0.00043,6.500000000000001e-05
138,11541500,"Milk shake, made with skim milk, chocolate",0.0005600000000000001,4.4999999999999996e-05
139,11541510,"Milk shake, made with skim milk, flavors other than chocolate",0.00043,4.2000000000000004e-05
140,11542000,"Carry-out milk shake, NS as to flavor",0.00049,4.2000000000000004e-05
141,11542100,"Carry-out milk shake, chocolate",0.00041,5.8e-05
142,11542200,"Carry-out milk shake, flavors other than chocolate",0.00057,2.6e-05
143,11551050,Milk fruit drink,0.00032,3.4e-05
144,11552200,Orange Julius,0.0006,0.000103
145,11553000,"Fruit smoothie drink, made with fruit or fruit juice and dairy products",0.00033,3.3e-05
146,11553100,"Fruit smoothie drink, NFS",0.00019,2.9e-05
147,11560000,"Chocolate-flavored drink, whey- and milk-based",0.00016,1e-05
148,11560020,"Flavored milk drink, whey- and milk-based, flavors other than chocolate",0.00016,1e-05
149,11561000,Cafe con leche,0.0002,2.8e-05
150,11561010,Cafe con leche prepared with sugar,0.00017999999999999998,2.6e-05
151,11611000,"Instant breakfast, fluid, canned",0.0015,0.000147
152,11612000,"Instant breakfast, powder, milk added",0.0015,0.000147
153,11613000,"Instant breakfast, powder, sweetened with low calorie sweetener, milk added",0.00156,0.00015099999999999998
154,11622010,"Diet beverage, powder, reconstituted with skim milk",0.00155,0.000155
155,11623000,"Meal supplement or replacement, commercially prepared, ready-to-drink",0.0012,0.00011999999999999999
156,11631000,"High calorie beverage, canned or powdered, reconstituted",0.00138,0.00013800000000000002
157,11641000,"Meal supplement or replacement, milk-based, high protein, liquid",0.0012900000000000001,0.00014000000000000001
158,11641020,"Meal replacement or supplement, milk based, ready-to-drink",0.0012900000000000001,0.00014000000000000001
159,11710000,"Infant formula, NFS",0.0005899999999999999,5.5e-05
160,11710050,"Similac Alimentum, with iron, infant formula, NS as to form",0.00049,3.9e-05
161,11710051,"Similac Alimentum, with iron, infant formula, ready-to-feed",0.00049,3.9e-05
162,11710053,"Similac Alimentum, with iron, infant formula, prepared from powder",0.0005,3.9e-05
