,Food Index,Nutrient Index,Amount,Food
118,11432000,309,0.74,"Yogurt, fruit variety, lowfat milk"
119,11432000,404,0.037,"Yogurt, fruit variety, lowfat milk"
120,11432500,309,0.82,"Yogurt, fruit variety, lowfat milk, sweetened with low-calorie sweetener"
121,11432500,404,0.041,"Yogurt, fruit variety, lowfat milk, sweetened with low-calorie sweetener"
122,11433000,309,0.74,"Yogurt, fruit variety, nonfat milk"
123,11433000,404,0.04,"Yogurt, fruit variety, nonfat milk"
124,11433500,309,0.65,"Yogurt, fruit variety, nonfat milk, sweetened with low-calorie sweetener"
125,11433500,404,0.036,"Yogurt, fruit variety, nonfat milk, sweetened with low-calorie sweetener"
126,11444000,309,0.84,"Yogurt, fruit and nuts, NS as to type of milk"
127,11444000,404,0.053,"Yogurt, fruit and nuts, NS as to type of milk"
128,11445000,309,0.84,"Yogurt, fruit and nuts, lowfat milk"
129,11445000,404,0.053,"Yogurt, fruit and nuts, lowfat milk"
130,11446000,309,0.89,Fruit and lowfat yogurt parfait
131,11446000,404,0.07,Fruit and lowfat yogurt parfait
132,11459990,309,0.82,"Yogurt, frozen, NS as to flavor, NS as to type of milk"
133,11459990,404,0.038,"Yogurt, frozen, NS as to flavor, NS as to type of milk"
134,11460000,309,0.28,"Yogurt, frozen, flavors other than chocolate, NS as to type of milk"
135,11460000,404,0.04,"Yogurt, frozen, flavors other than chocolate, NS as to type of milk"
136,11460100,309,0.28,"Yogurt, frozen, chocolate, NS as to type of milk"
137,11460100,404,0.04,"Yogurt, frozen, chocolate, NS as to type of milk"
138,11460150,309,0.82,"Yogurt, frozen, NS as to flavor, lowfat milk"
139,11460150,404,0.038,"Yogurt, frozen, NS as to flavor, lowfat milk"
140,11460160,309,1.06,"Yogurt, frozen, chocolate, lowfat milk"
141,11460160,404,0.042,"Yogurt, frozen, chocolate, lowfat milk"
142,11460170,309,0.76,"Yogurt, frozen, flavors other than chocolate, lowfat milk"
143,11460170,404,0.037,"Yogurt, frozen, flavors other than chocolate, lowfat milk"
144,11460190,309,0.64,"Yogurt, frozen, NS as to flavor, nonfat milk"
145,11460190,404,0.038,"Yogurt, frozen, NS as to flavor, nonfat milk"
146,11460200,309,0.49,"Yogurt, frozen, chocolate, nonfat milk"
147,11460200,404,0.04,"Yogurt, frozen, chocolate, nonfat milk"
148,11460250,309,0.53,"Yogurt, frozen, flavors other than chocolate, with sorbet or sorbet-coated"
149,11460250,404,0.04,"Yogurt, frozen, flavors other than chocolate, with sorbet or sorbet-coated"
150,11460300,309,0.31,"Yogurt, frozen, flavors other than chocolate, nonfat milk"
151,11460300,404,0.029,"Yogurt, frozen, flavors other than chocolate, nonfat milk"
152,11460400,309,0.49,"Yogurt, frozen, chocolate, nonfat milk, with low-calorie sweetener"
153,11460400,404,0.04,"Yogurt, frozen, chocolate, nonfat milk, with low-calorie sweetener"
154,11460410,309,0.49,"Yogurt, frozen, flavors other than chocolate, nonfat milk, with low-calorie sweetener"
155,11460410,404,0.04,"Yogurt, frozen, flavors other than chocolate, nonfat milk, with low-calorie sweetener"
156,11460420,309,0.28,"Yogurt, frozen, NS as to flavor, whole milk"
157,11460420,404,0.04,"Yogurt, frozen, NS as to flavor, whole milk"
158,11460430,309,0.28,"Yogurt, frozen, chocolate, whole milk"
159,11460430,404,0.04,"Yogurt, frozen, chocolate, whole milk"
160,11460440,309,0.28,"Yogurt, frozen, flavors other than chocolate, whole milk"
161,11460440,404,0.04,"Yogurt, frozen, flavors other than chocolate, whole milk"
162,11461000,309,0.38,"Yogurt, frozen, chocolate-coated"
163,11461000,404,0.029,"Yogurt, frozen, chocolate-coated"
164,11461100,309,1.12,"Yogurt, frozen, carob-coated"
165,11461100,404,0.051,"Yogurt, frozen, carob-coated"
166,11461200,309,0.43,"Yogurt, frozen, sandwich"
167,11461200,404,0.047,"Yogurt, frozen, sandwich"
168,11461250,309,1.19,"Yogurt, frozen, cone, chocolate"
169,11461250,404,0.099,"Yogurt, frozen, cone, chocolate"
170,11461260,309,0.46,"Yogurt, frozen, cone, flavors other than chocolate"
171,11461260,404,0.095,"Yogurt, frozen, cone, flavors other than chocolate"
172,11461270,309,0.88,"Yogurt, frozen, cone, flavors other than chocolate, lowfat milk"
173,11461270,404,0.056,"Yogurt, frozen, cone, flavors other than chocolate, lowfat milk"
174,11461280,309,1.04,"Yogurt, frozen, cone, chocolate, lowfat milk"
175,11461280,404,0.054,"Yogurt, frozen, cone, chocolate, lowfat milk"
176,11480010,309,0.59,"Yogurt, whole milk, baby food"
177,11480010,404,0.029,"Yogurt, whole milk, baby food"
178,11480020,309,0.56,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS"
179,11480020,404,0.048,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS"
180,11480030,309,0.54,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron"
181,11480030,404,0.048,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron"
182,11480040,309,0.59,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA"
183,11480040,404,0.047,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA"
